"Subject","Start Date","Start Time","End Date","End Time","All day","Calendar Name","Repeats","Repeats Until","Created By","Updated By","Creation Date","Last Update Date","Who","Location","Description"
"Sports Performance Training","3/24/2020","4:50 pm","3/24/2020","5:20 pm","","14 Platinum","Weekly on Tuesday and Thursday until May 8, 2020","5/8/2020","Administrator","Administrator","10/25/2019 1:52 pm","11/27/2019 6:38 am","","",""
"Sports Performance Training","3/24/2020","5:20 pm","3/24/2020","5:50 pm","","13 Platinum","Weekly on Tuesday and Thursday until May 8, 2020","5/8/2020","Administrator","Administrator","10/25/2019 1:55 pm","12/31/2019 12:01 pm","","",""
"Team Practice","3/24/2020","5:30 pm","3/24/2020","7:30 pm","","14 Platinum","Weekly on Tuesday and Thursday until May 8, 2020","5/8/2020","Administrator","","10/24/2019 2:49 pm","10/29/2019 2:24 pm","","",""
"Tutor Time","3/24/2020","6:00 pm","3/24/2020","6:40 pm","","13 Gold|14 Gold","","","Administrator","","1/30/2020 8:19 pm","","","","Pins

Court 1"
"Team Practice","3/24/2020","6:00 pm","3/24/2020","8:00 pm","","13 Platinum","Weekly on Wednesday until May 8, 2020","5/8/2020","Administrator","Administrator","10/24/2019 2:50 pm","2/14/2020 2:47 pm","","",""
"Team Practice","3/24/2020","6:00 pm","3/24/2020","7:30 pm","","12 Blue|12 Gold|13 Blue|14 Blue|14 Red|16 Blue","Weekly on Wednesday until May 6, 2020","5/6/2020","Administrator","","10/24/2019 2:51 pm","10/29/2019 2:19 pm","","",""
"Sports Performance Training","3/24/2020","6:20 pm","3/24/2020","6:50 pm","","15 Silver - Jerry|15 Silver - Natalie|16 Gold|16 Platinum|17 Gold","Weekly on Wednesday until May 8, 2020","5/8/2020","Administrator","Administrator","10/25/2019 1:56 pm","1/30/2020 8:34 pm","","",""
"Sports Performance Training","3/24/2020","6:50 pm","3/24/2020","7:20 pm","","13 Gold|14 Gold|15 Gold|15 Platinum","Weekly on Wednesday until May 8, 2020","5/8/2020","Administrator","Administrator","10/25/2019 1:57 pm","1/30/2020 8:34 pm","","",""
"Tutor Time","3/24/2020","6:50 pm","3/24/2020","7:25 pm","","16 Gold|16 Platinum|17 Gold","","","Administrator","Administrator","1/30/2020 8:20 pm","1/30/2020 8:22 pm","","","Middles &amp; Setters

Court 1"
"Team Practice","3/24/2020","7:30 pm","3/24/2020","9:30 pm","","13 Gold|14 Gold|15 Gold|15 Platinum|16 Gold|16 Platinum|17 Gold","Weekly on Tuesday and Thursday until May 8, 2020","5/8/2020","Administrator","Administrator","10/24/2019 2:55 pm","11/25/2019 10:07 am","","",""
"Tutor Time","3/24/2020","7:30 pm","3/24/2020","8:00 pm","","12 Blue|12 Gold|13 Blue","","","Administrator","","1/30/2020 8:20 pm","","","","Setting

Court 9

Lead Coach:"
"Team Practice","3/24/2020","8:00 pm","3/24/2020","9:30 pm","","14 Yellow","Weekly on Wednesday until May 6, 2020","5/6/2020","Administrator","Administrator","10/24/2019 2:55 pm","2/14/2020 2:47 pm","","",""
"Sports Performance Training","3/26/2020","3:20 pm","3/26/2020","3:50 pm","","17 Platinum|18 Gold|18 Platinum","Weekly on Tuesday and Thursday until May 1, 2020","4/30/2020","Administrator","Administrator","10/25/2019 1:51 pm","1/30/2020 8:21 pm","","",""
"Team Practice","3/26/2020","4:00 pm","3/26/2020","6:00 pm","","15 Silver - Jerry|15 Silver - Natalie|17 Platinum|18 Gold|18 Platinum","Weekly on Tuesday and Thursday until May 1, 2020","5/1/2020","Administrator","Administrator","10/24/2019 2:46 pm","1/30/2020 8:21 pm","","",""
"Team Practice","3/26/2020","4:30 pm","3/26/2020","6:00 pm","","12 Platinum|12 Silver|15 Blue","Weekly on Tuesday and Thursday until May 1, 2020","5/1/2020","Administrator","Administrator","10/24/2019 2:49 pm","11/25/2019 10:14 am","","",""
"Sports Performance Training","3/26/2020","4:50 pm","3/26/2020","5:20 pm","","14 Platinum","Weekly on Tuesday and Thursday until May 8, 2020","5/8/2020","Administrator","Administrator","10/25/2019 1:52 pm","11/27/2019 6:38 am","","",""
"SCVA NQ 16-18U","3/27/2020","12:00 am","3/30/2020","11:59 pm","1","18 Platinum","","","Administrator","Administrator","10/28/2019 2:30 pm","1/3/2020 3:54 pm","18Platinum","Mandalay Bay Convention Center, Las Vegas","SCVA/Red Rock Rave in Vegas -- 18s Qualifier March 27 arrival, March 30 departure.

Play Dates March 28, 29, 30 at the Mandalay Bay Convention Center

**This is a Driving Tournament.** Players(Parents) are responsible for their transportation to and from Phoenix &lt;--&gt; Las Vegas. Once in Las Vegas, players will stay with their team, coaches, and chaperones at the team hotel (Below). Players should arrive at the Hotel no earlier than 4:30pm and no later than 7pm on the arrival date, if at all possible. Check-in details and logistics TBA.

Tournament Website: <http://www.scvavolleyball.org/page/180020323/180116785/Girls-Red-Rock-Rave>

**Team Hotel:** Marriott Courtyard - Las Vegas South [5845 Dean Martin Drive, Las Vegas, Nevada 89118 USA](https://www.marriott.com/hotels/maps/travel/lascy-courtyard-las-vegas-south/?maps)

Hotel Website: <https://www.marriott.com/hotels/travel/lascy-courtyard-las-vegas-south/>

**Parent Hotel Room Availability:** <https://www.signupgenius.com/go/10C094AAAA622A4FF2-redrock>[](https://www.marriott.com/hotels/maps/travel/lascy-courtyard-las-vegas-south/?maps)

![Courtyard LV to Mandalay Bay.jpg](https://s3-eu-west-1.amazonaws.com/upload.teamup.com/966844/DSWxYUS8TKSruuyKPYXg_Courtyard%20LV%20to%20Mandalay%20Bay.jpg)"
"Sports Performance Training","3/26/2020","5:20 pm","3/26/2020","5:50 pm","","13 Platinum","Weekly on Tuesday and Thursday until May 8, 2020","5/8/2020","Administrator","Administrator","10/25/2019 1:55 pm","12/31/2019 12:01 pm","","",""
"Team Practice","3/26/2020","5:30 pm","3/26/2020","7:30 pm","","14 Platinum","Weekly on Tuesday and Thursday until May 8, 2020","5/8/2020","Administrator","","10/24/2019 2:49 pm","10/29/2019 2:24 pm","","",""
"Team Practice","3/26/2020","6:00 pm","3/26/2020","8:00 pm","","13 Platinum|16 Blue","Weekly on Friday until May 8, 2020","5/8/2020","Administrator","","11/30/2019 7:05 am","11/30/2019 3:23 pm","","",""
"Team Practice","3/26/2020","6:00 pm","3/26/2020","7:30 pm","","12 Blue|12 Gold|13 Blue|14 Blue|14 Red|14 Yellow","Weekly on Friday until May 8, 2020","5/8/2020","Administrator","Administrator","10/24/2019 2:53 pm","11/30/2019 7:04 am","","",""
"Sports Performance Training","3/26/2020","6:20 pm","3/26/2020","6:50 pm","","13 Gold|14 Gold|15 Gold|15 Silver - Jerry|15 Silver - Natalie","Weekly on Friday until May 8, 2020","5/8/2020","Administrator","Administrator","10/25/2019 2:00 pm","11/27/2019 6:44 am","","",""
"Sports Performance Training","3/26/2020","6:50 pm","3/26/2020","7:20 pm","","15 Platinum|16 Gold|16 Platinum|17 Gold","Weekly on Friday until May 8, 2020","5/8/2020","Administrator","Administrator","10/25/2019 2:01 pm","11/27/2019 6:45 am","","",""
"Team Practice","3/26/2020","7:30 pm","3/26/2020","9:30 pm","","13 Gold|14 Gold|15 Gold|15 Platinum|16 Gold|16 Platinum|17 Gold","Weekly on Tuesday and Thursday until May 8, 2020","5/8/2020","Administrator","Administrator","10/24/2019 2:55 pm","11/25/2019 10:07 am","","",""
"Team Practice","3/27/2020","4:30 pm","3/27/2020","6:30 pm","","15 Silver - Jerry|16 Gold|17 Platinum","","","Administrator","","2/27/2020 3:05 pm","","","",""
"AZJNQ 13-15U","3/28/2020","12:00 am","3/29/2020","11:59 pm","1","13 Platinum|14 Gold|14 Platinum|15 Gold|15 Platinum","","","Administrator","Administrator","10/28/2019 2:30 pm","1/3/2020 3:51 pm","","","AZ Region Website - AZ Qualifier Link:

<https://www.azregionvolleyball.org/page/show/3919053-az-region-national-club-qualifier>"
"Team Practice","3/27/2020","6:30 pm","3/27/2020","8:30 pm","","12 Blue|14 Yellow|15 Silver - Natalie|16 Platinum|17 Gold","","","Administrator","","2/27/2020 3:05 pm","","","",""
"Sports Performance Training","3/31/2020","3:20 pm","3/31/2020","3:50 pm","","17 Platinum|18 Gold","","","Administrator","","1/30/2020 8:21 pm","","","",""
"Team Practice","3/31/2020","4:00 pm","3/31/2020","6:00 pm","","15 Silver - Jerry|15 Silver - Natalie|17 Platinum|18 Gold","","","Administrator","","1/30/2020 8:21 pm","","","",""
"Team Practice","3/31/2020","4:30 pm","3/31/2020","6:00 pm","","12 Platinum|12 Silver|15 Blue","Weekly on Tuesday and Thursday until May 1, 2020","5/1/2020","Administrator","Administrator","10/24/2019 2:49 pm","11/25/2019 10:14 am","","",""
"Sports Performance Training","3/31/2020","4:50 pm","3/31/2020","5:20 pm","","14 Platinum","Weekly on Tuesday and Thursday until May 8, 2020","5/8/2020","Administrator","Administrator","10/25/2019 1:52 pm","11/27/2019 6:38 am","","",""
"Team Fees Due","4/1/2020","12:00 am","4/1/2020","11:59 pm","1","12 Blue|12 Gold|12 Platinum|12 Silver|13 Blue|13 Gold|13 Platinum|14 Blue|14 Gold|14 Platinum|14 Red|14 Yellow","Monthly until April 1, 2020","4/1/2020","Administrator","","11/28/2019 3:16 pm","","","","Fees are due the **1st of the month**.

Please note that you need to initiate payment unless you have specifically asked Lisa (<lisa@cluboneaz.com>) to send you monthly invoices.

For more details on your options, see the **Player Fee Payment Instructions/Options**document located on the [Documents](http://www.cluboneaz.com/documents.html) page of our website.

Let's avoid the **$40 Late Fee** and submit your installment today!

Specific Team Monthly Fees are below:

12 Silver &amp; Blue - $200

12 Gold - $220

12 Platinum - $225

13 Blue - $320

13 Gold - $510

13 Platinum - $515

14 Yellow &amp; Red - $300

14 Blue - $320

14 Gold &amp; Platinum - $675"
"Sports Performance Training","3/31/2020","5:20 pm","3/31/2020","5:50 pm","","13 Platinum","Weekly on Tuesday and Thursday until May 8, 2020","5/8/2020","Administrator","Administrator","10/25/2019 1:55 pm","12/31/2019 12:01 pm","","",""
"Team Practice","3/31/2020","5:30 pm","3/31/2020","7:30 pm","","14 Platinum","Weekly on Tuesday and Thursday until May 8, 2020","5/8/2020","Administrator","","10/24/2019 2:49 pm","10/29/2019 2:24 pm","","",""
"Team Practice","3/31/2020","6:00 pm","3/31/2020","8:00 pm","","13 Platinum","Weekly on Wednesday until May 8, 2020","5/8/2020","Administrator","Administrator","10/24/2019 2:50 pm","2/14/2020 2:47 pm","","",""
"Team Practice","3/31/2020","6:00 pm","3/31/2020","7:30 pm","","12 Blue|12 Gold|13 Blue|14 Blue|14 Red|16 Blue","Weekly on Wednesday until May 6, 2020","5/6/2020","Administrator","","10/24/2019 2:51 pm","10/29/2019 2:19 pm","","",""
"Tutor Time","3/31/2020","6:10 pm","3/31/2020","6:40 pm","","15 Gold|15 Platinum|15 Silver - Jerry","","","Administrator","Administrator","1/30/2020 8:24 pm","2/19/2020 12:30 pm","","","Serve &amp; Pass

Court 1

Lead Coach: Kelsey"
"Sports Performance Training","3/31/2020","6:20 pm","3/31/2020","6:50 pm","","15 Silver - Jerry|15 Silver - Natalie|16 Gold|16 Platinum|17 Gold","Weekly on Wednesday until May 8, 2020","5/8/2020","Administrator","Administrator","10/25/2019 1:56 pm","1/30/2020 8:34 pm","","",""
"Tutor Time","3/31/2020","6:50 pm","3/31/2020","7:25 pm","","16 Gold|16 Platinum|17 Gold","","","Administrator","","1/30/2020 8:22 pm","","","","Serve &amp; Pass

Court 1"
"Sports Performance Training","3/31/2020","6:50 pm","3/31/2020","7:20 pm","","13 Gold|14 Gold|15 Gold|15 Platinum","Weekly on Wednesday until May 8, 2020","5/8/2020","Administrator","Administrator","10/25/2019 1:57 pm","1/30/2020 8:34 pm","","",""
"Team Practice","3/31/2020","7:30 pm","3/31/2020","9:30 pm","","13 Gold|14 Gold|15 Gold|15 Platinum|16 Gold|16 Platinum|17 Gold","Weekly on Tuesday and Thursday until May 8, 2020","5/8/2020","Administrator","Administrator","10/24/2019 2:55 pm","11/25/2019 10:07 am","","",""
"Tutor Time","3/31/2020","7:30 pm","3/31/2020","8:00 pm","","14 Platinum|16 Blue","","","Administrator","Administrator","1/30/2020 8:26 pm","2/19/2020 12:29 pm","","","Pins &amp; Setters

Court 9

Lead Coach: Justin"
"Team Practice","3/31/2020","8:00 pm","3/31/2020","9:30 pm","","14 Yellow","Weekly on Wednesday until May 6, 2020","5/6/2020","Administrator","Administrator","10/24/2019 2:55 pm","2/14/2020 2:47 pm","","",""
"SCVA NQ 13-15U","4/2/2020","12:00 am","4/5/2020","11:59 pm","1","13 Gold|13 Platinum|14 Gold|14 Platinum|15 Gold|15 Silver - Jerry|15 Silver - Natalie","","","Administrator","Administrator","10/28/2019 2:37 pm","1/3/2020 4:23 pm","","","**SCVA/Red Rock Rave in Vegas -- 13-15s Qualifier:** **April 2 arrival / April 5 departure**.

**Play Dates:** April 3, 4, 5

**Venue: Mandalay Bay Convention Center** 3950 S Las Vegas Blvd  
Las Vegas, NV 89119

**\*\*This is a Driving Tournament.** Players(Parents) are responsible for their transportation to and from Phoenix &lt;--&gt; Las Vegas. Once in Las Vegas, players will stay with their team, coaches, and chaperones at the team hotel (Below). Players should arrive at the Hotel no earlier than 4:30pm and no later than 7pm on the arrival date. Check-in details and logistics TBA.

Once competition and reffing assignments are completed on Sunday, April 5, players will be released to their parents/guardians for transport home to PHX.

**Tournament Website:** <http://www.scvavolleyball.org/page/180020323/180116785/Girls-Red-Rock-Rave>

**Team Hotel #1 (14Gold, 15Gold, 15Silver-J, 15Silver-Nat Players) --&gt;**

**Marriott Courtyard - Las Vegas South** [5845 Dean Martin Drive, Las Vegas, Nevada 89118 USA](https://www.marriott.com/hotels/maps/travel/lascy-courtyard-las-vegas-south/?maps)

Hotel Website: <https://www.marriott.com/hotels/travel/lascy-courtyard-las-vegas-south/>

**Team Hotel #2 (13Platinum, 13Gold, 14Platinum Players) --&gt;**

**F****airfield Inn and Suites South** [5775 Dean Martin Drive, Las Vegas, Nevada 89118 USA](https://www.marriott.com/hotels/maps/travel/lasfs-fairfield-inn-and-suites-las-vegas-south/?maps)

Hotel Website: <https://www.marriott.com/hotels/travel/lasfs-fairfield-inn-and-suites-las-vegas-south/>

\*Hotels are next door to each other and walking distance to Mandalay Convention Center:

![SCVA Red Rock Rave 2 Hotel Map Pic.jpg](https://s3-eu-west-1.amazonaws.com/upload.teamup.com/966844/x5c6h6iqT0erTpXNncy0_SCVA%20Red%20Rock%20Rave%202%20Hotel%20Map%20Pic.jpg)"
"Sports Performance Training","4/2/2020","3:20 pm","4/2/2020","3:50 pm","","17 Platinum|18 Gold|18 Platinum","Weekly on Tuesday and Thursday until May 1, 2020","4/30/2020","Administrator","Administrator","10/25/2019 1:51 pm","1/30/2020 8:21 pm","","",""
"Team Practice","4/2/2020","4:00 pm","4/2/2020","6:00 pm","","15 Silver - Jerry|15 Silver - Natalie|17 Platinum|18 Gold|18 Platinum","Weekly on Tuesday and Thursday until May 1, 2020","5/1/2020","Administrator","Administrator","10/24/2019 2:46 pm","1/30/2020 8:21 pm","","",""
"Team Practice","4/2/2020","4:30 pm","4/2/2020","6:00 pm","","12 Platinum|12 Silver|15 Blue","Weekly on Tuesday and Thursday until May 1, 2020","5/1/2020","Administrator","Administrator","10/24/2019 2:49 pm","11/25/2019 10:14 am","","",""
"Sports Performance Training","4/2/2020","4:50 pm","4/2/2020","5:20 pm","","14 Platinum","Weekly on Tuesday and Thursday until May 8, 2020","5/8/2020","Administrator","Administrator","10/25/2019 1:52 pm","11/27/2019 6:38 am","","",""
"Sports Performance Training","4/2/2020","5:20 pm","4/2/2020","5:50 pm","","13 Platinum","Weekly on Tuesday and Thursday until May 8, 2020","5/8/2020","Administrator","Administrator","10/25/2019 1:55 pm","12/31/2019 12:01 pm","","",""
"Team Practice","4/2/2020","5:30 pm","4/2/2020","7:30 pm","","14 Platinum","Weekly on Tuesday and Thursday until May 8, 2020","5/8/2020","Administrator","","10/24/2019 2:49 pm","10/29/2019 2:24 pm","","",""
"Team Practice","4/2/2020","6:00 pm","4/2/2020","8:00 pm","","13 Platinum|16 Blue","Weekly on Friday until May 8, 2020","5/8/2020","Administrator","","11/30/2019 7:05 am","11/30/2019 3:23 pm","","",""
"Team Practice","4/2/2020","6:00 pm","4/2/2020","7:30 pm","","12 Blue|12 Gold|13 Blue|14 Blue|14 Red|14 Yellow","Weekly on Friday until May 8, 2020","5/8/2020","Administrator","Administrator","10/24/2019 2:53 pm","11/30/2019 7:04 am","","",""
"Sports Performance Training","4/2/2020","6:20 pm","4/2/2020","6:50 pm","","13 Gold|14 Gold|15 Gold|15 Silver - Jerry|15 Silver - Natalie","Weekly on Friday until May 8, 2020","5/8/2020","Administrator","Administrator","10/25/2019 2:00 pm","11/27/2019 6:44 am","","",""
"Sports Performance Training","4/2/2020","6:50 pm","4/2/2020","7:20 pm","","15 Platinum|16 Gold|16 Platinum|17 Gold","Weekly on Friday until May 8, 2020","5/8/2020","Administrator","Administrator","10/25/2019 2:01 pm","11/27/2019 6:45 am","","",""
"Team Practice","4/2/2020","7:30 pm","4/2/2020","9:30 pm","","13 Gold|14 Gold|15 Gold|15 Platinum|16 Gold|16 Platinum|17 Gold","Weekly on Tuesday and Thursday until May 8, 2020","5/8/2020","Administrator","Administrator","10/24/2019 2:55 pm","11/25/2019 10:07 am","","",""
"Team Practice","4/3/2020","4:30 pm","4/3/2020","6:30 pm","","18 Platinum","","","Administrator","","11/30/2019 9:11 pm","","","",""
